key,coordinate,edge_id
charents_1,"40.171987, 44.527624"
charents_2,"40.181767, 44.527795"
charents_1-,"40.171982, 44.527595"
charents_2-,"40.181768, 44.527676"
sayat_nova_1,"40.178025, 44.525983"
sayat_nova_2,"40.179382, 44.524270"
sayat_nova_3,"40.180960, 44.522260"
sayat_nova_4,"40.182868, 44.519888"
sayat_nova_5,"40.184349, 44.518048"
sayat_nova_6,"40.186254, 44.516190"
sayat_nova_1-,"40.178011, 44.525969"
sayat_nova_2-,"40.179368, 44.524254"
sayat_nova_3-,"40.180937, 44.522245"
sayat_nova_4-,"40.182867, 44.519847"
sayat_nova_5-,"40.184310, 44.517978"
sayat_nova_6-,"40.186154, 44.515960"
alek_manukyan_1,"40.176271, 44.523694"
alek_manukyan_2,"40.181256, 44.525199"
alek_manukyan_1-,"40.176278, 44.523651"
nalbandyan_1,"40.184905, 44.525263"
nalbandyan_2,"40.184037, 44.523909"
nalbandyan_3,"40.182886, 44.522092"
nalbandyan_4,"40.181614, 44.520094"
nalbandyan_1-,"40.184856, 44.525305"
nalbandyan_2-,"40.183998, 44.523930"
nalbandyan_3-,"40.182836, 44.522158"
nalbandyan_4-,"40.181587, 44.520109"
abovyan_1,"40.190022, 44.526114"
abovyan_2,"40.187381, 44.523139"
abovyan_3,"40.186429, 44.521994"
abovyan_4,"40.184867, 44.520255"
abovyan_5,"40.183052, 44.518099"
abovyan_1-,"40.189885, 44.526342"
abovyan_2-,"40.187326, 44.523221"
abovyan_3-,"40.186365, 44.522051"
teryan_1,"40.190899, 44.524041"
teryan_2,"40.188684, 44.521430","-138002002#2"
teryan_3,"40.187615, 44.520150"
teryan_4,"40.186218, 44.518562"
teryan_5,"40.184407, 44.516387"
teryan_1-,"40.190864, 44.524092"
teryan_2-,"40.188635, 44.521497"
teryan_3-,"40.187552, 44.520237"
teryan_4-,"40.186187, 44.518603"
teryan_5-,"40.184371, 44.516452"
mesrop_mashtoc_1,"40.189929, 44.518354"
mesrop_mashtoc_2,"40.188669, 44.516825"
mesrop_mashtoc_3,"40.187783, 44.515780"
mesrop_mashtoc_4,"40.186344, 44.514072"
mesrop_mashtoc_1-,"40.189802, 44.518477","1318893695#0"
mesrop_mashtoc_2-,"40.188614, 44.517033"
mesrop_mashtoc_3-,"40.187747, 44.516015"
mesrop_mashtoc_4-,"40.186265, 44.514210"
isahakyan_1,"40.185579, 44.523600"
isahakyan_2,"40.187391, 44.521553"
isahakyan_3,"40.188622, 44.519038"
isahakyan_4,"40.189406, 44.515479"
moskovyan_1,"40.188314, 44.515315"
moskovyan_2,"40.187876, 44.517998"
moskovyan_3,"40.186643, 44.520726"
moskovyan_4,"40.184861, 44.522634"
moskovyan_1-,"40.188352, 44.515318"
koryun_1,"40.187491, 44.524920"
koryun_2,"40.188882, 44.523205"
koryun_3,"40.190074, 44.520893","380585337#0"
koryun_1-,"40.187416, 44.524726"
koryun_2-,"40.188767, 44.523052"
koryun_3-,"40.189921, 44.520854","133131666#1"
khanjyan_1,"40.182768, 44.523719"
khanjyan_2,"40.177147, 44.522398"
khanjyan_1-,"40.182691, 44.523675"
khanjyan_2-,"40.177141, 44.522200"
heratsi_1,"40.182255, 44.524271"
heratsi_2,"40.188616, 44.527676"
heratsi_1-,"40.182456, 44.524340"
heratsi_2-,"40.188619, 44.527579"
baghramyan_1,"40.187973, 44.514661"
baghramyan_1-,"40.187883, 44.514482"
koryun_0,"40.186173, 44.526051"
koryun_0-,"40.186175, 44.525913"