Origin,Destination,Direction,distance,duration,from_edge,to_edge
mesrop_mashtoc_1,isahakyan_4,Right,291.0,67.0,1318793176#1,133126031#0
mesrop_mashtoc_1,mesrop_mashtoc_2,Straight,193.0,48.0,1318793176#1,1318793173#0
mesrop_mashtoc_2,moskovyan_1-,Right,149.0,38.0,1318793173#0,189835257
mesrop_mashtoc_2,mesrop_mashtoc_3,Straight,133.0,34.0,1318793173#0,291974733#0
mesrop_mashtoc_3,mesrop_mashtoc_4,Straight,217.0,52.0,291974733#0,379698350#0
mesrop_mashtoc_3,baghramyan_1,Right,136.0,37.0,291974733#0,1342054204
baghramyan_1-,mesrop_mashtoc_4,Right,209.0,43.0,1252820505#0,379698350#0
mesrop_mashtoc_4-,mesrop_mashtoc_3-,Straight,226.0,61.0,133000078#0,137406408#0
mesrop_mashtoc_4-,sayat_nova_6-,Right,224.0,46.0,133000078#0,1235147073.116
mesrop_mashtoc_2,moskovyan_2,Left,208.0,45.0,1318793173#0,1254771874#0
mesrop_mashtoc_3,sayat_nova_6-,Left,229.0,81.0,291974733#0,1235147073.116
baghramyan_1-,sayat_nova_6-,Straight,230.0,55.0,1252820505#0,1235147073.116
baghramyan_1-,mesrop_mashtoc_3-,Left,213.0,64.0,1252820505#0,137406408#0
mesrop_mashtoc_4-,baghramyan_1,Left,249.0,63.0,133000078#0,1342054204
moskovyan_1,mesrop_mashtoc_3,Right,159.0,45.0,1252820503#0,291974733#0
moskovyan_1,moskovyan_2,Straight,235.0,48.0,1252820503#0,1254771874#0
moskovyan_1,mesrop_mashtoc_2-,Left,166.0,38.0,1252820503#0,133126040#0
mesrop_mashtoc_3-,mesrop_mashtoc_2-,Straight,130.0,36.0,137406408#0,133126040#0
mesrop_mashtoc_3-,moskovyan_2,Right,198.0,49.0,137406408#0,1254771874#0
mesrop_mashtoc_2-,mesrop_mashtoc_1-,Straight,180.0,29.0,133126040#0,1318893695#0
mesrop_mashtoc_2-,isahakyan_4,Left,237.0,61.0,133126040#0,133126031#0
mesrop_mashtoc_1-,koryun_3-,Straight,244.0,32.0,1318893695#0,133131666#1
koryun_3,mesrop_mashtoc_1,Straight,249.0,32.0,380585337#0,1318793176#1
sayat_nova_6,baghramyan_1,Straight,232.0,79.0,137415945#0,1342054204
sayat_nova_6,mesrop_mashtoc_4,Left,298.0,81.0,137415945#0,379698350#0
sayat_nova_6,mesrop_mashtoc_3-,Right,197.0,75.0,137415945#0,137406408#0
moskovyan_2,moskovyan_3,Straight,272.0,52.0,1254771874#0,1341093415#0
moskovyan_2,teryan_4,Right,321.0,68.0,1254771874#0,-422986370#2
moskovyan_2,teryan_3-,Left,223.0,47.0,1254771874#0,138002006#0
teryan_4,teryan_5,Straight,273.0,83.0,-422986370#2,-430406005#1
teryan_4,sayat_nova_6,Right,343.0,96.0,-422986370#2,137415945#0
sayat_nova_6-,sayat_nova_5-,Straight,269.0,84.0,1235147073.116,133126030#0
sayat_nova_6-,teryan_5,Right,259.0,84.0,1235147073.116,-430406005#1
sayat_nova_6-,teryan_4-,Left,345.0,97.0,1235147073.116,1369578054
teryan_5-,teryan_4-,Straight,272.0,80.0,133126008#0,1369578054
teryan_5-,sayat_nova_5-,Right,196.0,73.0,133126008#0,133126030#0
sayat_nova_5,teryan_4-,Right,284.0,78.0,485211947#0,1369578054
sayat_nova_5,sayat_nova_6,Straight,267.0,61.0,485211947#0,137415945#0
sayat_nova_5,teryan_5,Left,198.0,58.0,485211947#0,-430406005#1
sayat_nova_5-,abovyan_5,Right,200.0,54.0,133126030#0,134193294#0
sayat_nova_5-,sayat_nova_4-,Straight,226.0,51.0,133126030#0,1328664748#0
teryan_4-,moskovyan_3,Right,255.0,62.0,1369578054,1341093415#0
teryan_4-,teryan_3-,Straight,206.0,52.0,1369578054,138002006#0
sayat_nova_4,sayat_nova_5-,Straight,228.0,73.0,1328664744#0,133126030#0
sayat_nova_4,abovyan_5,Left,217.0,71.0,1328664744#0,134193294#0
abovyan_4,abovyan_5,Straight,273.0,80.0,791826085,134193294#0
abovyan_4,sayat_nova_5,Right,283.0,89.0,791826085,485211947#0
abovyan_4,sayat_nova_4-,Left,298.0,85.0,791826085,1328664748#0
isahakyan_3,mesrop_mashtoc_2,Left,215.0,57.0,380351865#0,1318793173#0
isahakyan_3,isahakyan_4,Straight,314.0,79.0,380351865#0,133126031#0
isahakyan_3,mesrop_mashtoc_1-,Right,257.0,58.0,380351865#0,1318893695#0
teryan_3,teryan_4,Straight,206.0,44.0,-138002006#3,-422986370#2
teryan_3,moskovyan_3,Left,156.0,38.0,-138002006#3,1341093415#0
teryan_3-,isahakyan_3,Left,208.0,50.0,138002006#0,380351865#0
teryan_3-,teryan_2-,Straight,157.0,39.0,138002006#0,1369578052#0
moskovyan_3,moskovyan_4,Straight,258.0,46.0,1341093415#0,1341093416#0
moskovyan_3,abovyan_4,Right,272.0,54.0,1341093415#0,791826085
moskovyan_3,abovyan_3-,Left,158.0,35.0,1341093415#0,409155823
isahakyan_2,isahakyan_3,Straight,255.0,56.0,186407685,380351865#0
isahakyan_2,teryan_3,Left,152.0,43.0,186407685,-138002006#3
isahakyan_2,teryan_2-,Right,204.0,58.0,186407685,1369578052#0
abovyan_3,abovyan_4,Straight,228.0,47.0,186407684#0,791826085
abovyan_3,moskovyan_4,Left,213.0,40.0,186407684#0,1341093416#0
abovyan_3-,abovyan_2-,Straight,146.0,35.0,409155823,1091883842
koryun_3-,koryun_2-,Straight,227.0,56.0,133131666#1,133342692#0
koryun_3-,teryan_2,Right,233.0,73.0,133131666#1,-138002002#2
koryun_3-,teryan_1-,Left,373.0,77.0,133131666#1,138002016#0
teryan_2,teryan_3,Straight,153.0,46.0,-138002002#2,-138002006#3
teryan_2,isahakyan_3,Right,256.0,67.0,-138002002#2,380351865#0
teryan_1,teryan_2,Straight,332.0,76.0,1253209803#0,-138002002#2
teryan_1,koryun_3,Right,372.0,62.0,1253209803#0,380585337#0
teryan_1,koryun_2-,Left,326.0,72.0,1253209803#0,133342692#0
teryan_2-,teryan_1-,Straight,332.0,79.0,1369578052#0,138002016#0
teryan_2-,koryun_2-,Right,186.0,65.0,1369578052#0,133342692#0
koryun_2,koryun_3,Straight,238.0,60.0,380593307#0,380585337#0
koryun_2,teryan_1-,Right,316.0,81.0,380593307#0,138002016#0
koryun_2,teryan_2,Left,198.0,66.0,380593307#0,-138002002#2
koryun_2-,koryun_1-,Straight,208.0,49.0,133342692#0,133000063
koryun_2-,abovyan_2,Right,218.0,52.0,133342692#0,423956929
koryun_2-,abovyan_1-,Left,398.0,70.0,133342692#0,136617981
abovyan_1,abovyan_2,Straight,389.0,62.0,380344611#0,423956929
abovyan_1,koryun_2,Right,369.0,65.0,380344611#0,380593307#0
abovyan_1,koryun_1-,Left,379.0,77.0,380344611#0,133000063
abovyan_2,abovyan_3,Straight,144.0,35.0,423956929,186407684#0
abovyan_2,isahakyan_2,Right,197.0,46.0,423956929,186407685
abovyan_2-,abovyan_1-,Straight,392.0,66.0,1091883842,136617981
abovyan_2-,koryun_1-,Right,202.0,43.0,1091883842,133000063
isahakyan_1,isahakyan_2,Straight,267.0,55.0,430416184,186407685
isahakyan_1,abovyan_2-,Right,258.0,53.0,430416184,1091883842
isahakyan_1,abovyan_3,Left,741.0,173.0,430416184,186407684#0
koryun_1,koryun_2,Straight,213.0,65.0,380585338#0,380593307#0
koryun_1,abovyan_1-,Right,363.0,63.0,380585338#0,136617981
koryun_1-,charents_2-,Straight,689.0,95.0,133000063,683079387#1
koryun_1-,nalbandyan_1,Right,352.0,75.0,133000063,186409193
koryun_1-,heratsi_2,Left,958.0,131.0,133000063,380585336
moskovyan_4,khanjyan_1-,Straight,261.0,45.0,1341093416#0,799091563#0
moskovyan_4,nalbandyan_3,Right,291.0,64.0,1341093416#0,1254519225#0.109
moskovyan_4,nalbandyan_2-,Left,199.0,40.0,1341093416#0,1254519229#0
sayat_nova_4-,nalbandyan_4,Right,209.0,71.0,1328664748#0,135474719#0
sayat_nova_4-,sayat_nova_3-,Straight,296.0,73.0,1328664748#0,177211987#1
sayat_nova_4-,nalbandyan_3-,Left,264.0,69.0,1328664748#0,1253188486#8
nalbandyan_1,nalbandyan_2-,Straight,152.0,35.0,186409193,1254519229#0
nalbandyan_1,isahakyan_1,Right,253.0,54.0,186409193,430416184
nalbandyan_1-,heratsi_2,Straight,809.0,96.0,1342963997,380585336
nalbandyan_1-,charents_2-,Right,540.0,61.0,1342963997,683079387#1
nalbandyan_2,nalbandyan_3,Straight,200.0,46.0,189240001,1254519225#0.109
nalbandyan_2,khanjyan_1-,Left,170.0,35.0,189240001,799091563#0
nalbandyan_2-,isahakyan_1,Left,210.0,46.0,1254519229#0,430416184
nalbandyan_2-,nalbandyan_1-,Straight,151.0,25.0,1254519229#0,1342963997
nalbandyan_3,nalbandyan_4,Straight,221.0,86.0,1254519225#0.109,135474719#0
nalbandyan_3,sayat_nova_4,Right,261.0,95.0,1254519225#0.109,1328664744#0
nalbandyan_3,sayat_nova_3-,Left,308.0,102.0,1254519225#0.109,177211987#1
nalbandyan_3-,nalbandyan_2-,Straight,198.0,36.0,1253188486#8,1254519229#0
nalbandyan_3-,khanjyan_1-,Right,260.0,43.0,1253188486#8,799091563#0
nalbandyan_4-,nalbandyan_3-,Straight,223.0,59.0,1253188486#4,1253188486#8
nalbandyan_4-,sayat_nova_3-,Right,255.0,70.0,1253188486#4,177211987#1
nalbandyan_4-,sayat_nova_4,Left,208.0,62.0,1253188486#4,1328664744#0
sayat_nova_3-,sayat_nova_2-,Straight,244.0,66.0,177211987#1,688883939#0
sayat_nova_3-,khanjyan_2-,Right,495.0,96.0,177211987#1,138000492#0
sayat_nova_3,sayat_nova_4,Straight,293.0,78.0,134194079#0,1328664744#0
sayat_nova_3,nalbandyan_3-,Right,308.0,79.0,134194079#0,1253188486#8
khanjyan_1-,khanjyan_2-,Straight,646.0,114.0,799091563#0,138000492#0
khanjyan_1-,sayat_nova_3,Right,486.0,100.0,799091563#0,134194079#0
khanjyan_1-,sayat_nova_2-,Left,394.0,86.0,799091563#0,688883939#0
khanjyan_1,nalbandyan_2-,Right,161.0,42.0,189240000#0-AddedOnRampEdge,1254519229#0
khanjyan_1,nalbandyan_3,Left,253.0,63.0,189240000#0-AddedOnRampEdge,1254519225#0.109
heratsi_1,heratsi_2,Straight,837.0,68.0,138000461,380585336
heratsi_1-,khanjyan_2-,Straight,626.0,44.0,-138000461,138000492#0
heratsi_1-,khanjyan_1,Right,102.0,23.0,-138000461,189240000#0-AddedOnRampEdge
heratsi_2-,koryun_1,Right,347.0,46.0,134133272,380585338#0
heratsi_2-,charents_2-,Left,853.0,97.0,134133272,683079387#1
heratsi_2-,heratsi_1-,Straight,810.0,60.0,134133272,-138000461
sayat_nova_2,sayat_nova_3,Straight,245.0,64.0,714011134#0,134194079#0
sayat_nova_2,khanjyan_1,Right,402.0,87.0,714011134#0,189240000#0-AddedOnRampEdge
sayat_nova_2,khanjyan_2-,Left,405.0,86.0,714011134#0,138000492#0
sayat_nova_2-,sayat_nova_1-,Straight,210.0,41.0,688883939#0,809719540#0
sayat_nova_2-,alek_manukyan_1-,Right,380.0,72.0,688883939#0,1254157399#1
sayat_nova_2-,alek_manukyan_2,Left,320.0,68.0,688883939#0,186410975#0
sayat_nova_1,sayat_nova_2,Straight,210.0,46.0,1310781056,714011134#0
sayat_nova_1,alek_manukyan_2,Right,402.0,78.0,1310781056,186410975#0
sayat_nova_1,alek_manukyan_1-,Left,463.0,88.0,1310781056,1254157399#1
sayat_nova_1-,charents_1-,Right,731.0,100.0,809719540#0,-809772643#1
sayat_nova_1-,charents_2-,Left,1102.0,179.0,809719540#0,683079387#1
charents_1,charents_2,Straight,1110.0,127.0,1253222187#0,683079388#0
charents_1,sayat_nova_1,Left,752.0,114.0,1253222187#0,1310781056
charents_2,koryun_1,Straight,692.0,91.0,683079388#0,380585338#0
charents_2,heratsi_2,Right,839.0,81.0,683079388#0,380585336
charents_2-,charents_1-,Straight,1110.0,131.0,683079387#1,-809772643#1
charents_2-,sayat_nova_1,Right,673.0,90.0,683079387#1,1310781056
alek_manukyan_2,heratsi_2,Left,913.0,104.0,186410975#0,380585336
alek_manukyan_2,isahakyan_1,Straight,505.0,111.0,186410975#0,430416184
alek_manukyan_2,charents_2-,Right,700.0,101.0,186410975#0,683079387#1
alek_manukyan_1,alek_manukyan_2,Straight,572.0,112.0,31861355#0,186410975#0
alek_manukyan_1,sayat_nova_2,Left,380.0,83.0,31861355#0,714011134#0
alek_manukyan_1,sayat_nova_1-,Right,462.0,89.0,31861355#0,809719540#0
khanjyan_2,khanjyan_1,Straight,400,260,49734468,189240000#0-AddedOnRampEdge
khanjyan_2,heratsi_1,Straight,380,256,49734468,138000461
